Año,Salario_nominal,Auxilio_transporte,IPC,Mes_IPC,Salario_real,Linea_pobreza,Ingreso_total,Excedente,Excedente_semestral
2016,689455,77700,93.11,Diciembre,740473.6333369133,297933.0,767155,469222.0,2815332.0
2017,737717,83140,96.92,Diciembre,761160.7511349566,306653.0,820857,514204.0,3085224.0
2018,781242,88211,100.0,Diciembre,781242.0,314294.0,869453,555159.0,3330954.0
2019,828116,97032,103.8,Diciembre,797799.6146435452,325145.0,925148,600003.0,3600018.0
2020,877803,102854,105.48,Diciembre,832198.521046644,329080.0,980657,651577.0,3909462.0
2021,908526,106454,111.41,Diciembre,815479.7594470874,351480.0,1014980,663500.0,3981000.0
2022,1000000,117172,126.03,Diciembre,793461.8741569468,396864.0,1117172,720308.0,4321848.0
2023,1160000,140606,137.72,Diciembre,842288.7017136218,435375.0,1300606,865231.0,5191386.0
2024,1300000,162000,144.88,Diciembre,897294.3125345114,460198.0,1462000,1001802.0,6010812.0
2025,1423500,200000,152.27,Diciembre,934852.5645235436,482041.0,1623500,1141459.0,6848754.0
2026,1750905,249095,158.91,Mayo,1101821.7859165566,503061.2419386615,2000000,1496938.7580613384,8981632.548368031
